"year","month","day","line","ridership"
2020,6,9,"Green",-91.25214971646032
2020,6,10,"Green",-91.49435309983701
2020,6,11,"Green",-91.63853377279875
2020,6,12,"Green",-91.47673577681253
2020,6,13,"Green",-91.49017242746666
2020,6,14,"Green",-91.47246249838868
2020,6,15,"Green",-91.45470569808334
2020,6,16,"Green",-91.19673987070139
2020,6,17,"Green",-91.03048126217065
2020,6,18,"Green",-90.88615936630801
2020,6,19,"Green",-90.59480911113391
2020,6,20,"Green",-90.50526764486483
2020,6,21,"Green",-90.38549962567129
2020,6,22,"Green",-90.26509999431116
2020,6,23,"Green",-89.97757708017583
2020,6,24,"Green",-89.7592346638173
2020,6,25,"Green",-89.53110035147014
2020,6,26,"Green",-88.9997352550526
2020,6,27,"Green",-88.89290208235677
2020,6,28,"Green",-88.87154320593328
2020,6,29,"Green",-88.85011894720742
2020,6,30,"Green",-88.63783974384494
2020,7,1,"Green",-88.49014692995864
2020,7,2,"Green",-88.12679105504874
2020,7,3,"Green",-87.43621465583705
2020,7,4,"Green",-87.12277787278398
2020,7,5,"Green",-87.03170323369304
2020,7,6,"Green",-86.93987971838503
2020,7,7,"Green",-86.68847269197238
2020,7,8,"Green",-86.57901907356948
2020,7,9,"Green",-86.36883923029175
2020,7,10,"Green",-86.1445557368325
2020,7,11,"Green",-86.26777131266563
2020,7,12,"Green",-86.32104751748423
2020,7,13,"Green",-86.37401415209996
2020,7,14,"Green",-86.17994051370506
2020,7,15,"Green",-86.14601789136763
2020,7,16,"Green",-86.10105151364384
2020,7,17,"Green",-86.28732954325169
2020,7,18,"Green",-86.93216046320195
2020,7,19,"Green",-86.94702164727157
2020,7,20,"Green",-86.96172543488309
2020,7,21,"Green",-86.83443298765454
2020,7,22,"Green",-86.79377690951854
2020,7,23,"Green",-86.73036416808829
2020,7,24,"Green",-86.60862667669686
2020,7,25,"Green",-86.70128023775844
2020,7,26,"Green",-86.66799570310091
2020,7,27,"Green",-86.63445979407565
2020,7,28,"Green",-86.48896461132281
2020,7,29,"Green",-86.35747574662355
2020,7,30,"Green",-86.20785219399538
2020,7,31,"Green",-86.00220318104613
2020,8,1,"Green",-85.81967018409392
2020,8,2,"Green",-85.77166596950222
2020,8,3,"Green",-85.72360952527639
2020,8,4,"Green",-85.58307472343566
2020,8,5,"Green",-85.59693908052849
2020,8,6,"Green",-85.51898070742335
2020,8,7,"Green",-85.2885104907982
2020,8,8,"Green",-85.23800750946677
2020,8,9,"Green",-85.20486210544156
2020,8,10,"Green",-85.17136987583969
2020,8,11,"Green",-84.89218033356882
2020,8,12,"Green",-84.72918316771275
2020,8,13,"Green",-84.48224678067115
2020,8,14,"Green",-84.19830227920936
2020,8,15,"Green",-84.08364347063673
2020,8,16,"Green",-84.05398927485017
2020,8,17,"Green",-84.02412615717948
2020,8,18,"Green",-83.89650309397035
2020,8,19,"Green",-83.67587952738198
2020,8,20,"Green",-83.4504481832025
2020,8,21,"Green",-83.09175069795306
2020,8,22,"Green",-82.90194491574556
2020,8,23,"Green",-82.79968895430723
2020,8,24,"Green",-82.6962083011711
2020,8,25,"Green",-82.45331701546904
2020,8,26,"Green",-82.20955540184764
2020,8,27,"Green",-81.98156480924766
2020,8,28,"Green",-81.55628780608255
2020,8,29,"Green",-81.38861247412186
2020,8,30,"Green",-81.03091857845787
2020,8,31,"Green",-80.66039851561607
2020,9,1,"Green",-79.97435476511473
2020,9,2,"Green",-80.12116766645643
2020,9,3,"Green",-79.84673719132817
2020,9,4,"Green",-79.47824908694217
2020,9,5,"Green",-79.86466612918916
2020,9,6,"Green",-80.03555095774117
2020,9,7,"Green",-80.2050674399321
2020,9,8,"Green",-79.99433114887087
2020,9,9,"Green",-79.9434075451788
2020,9,10,"Green",-80.01431186751982
