servicedate,stationname,validations
1/12/2018,North Quincy,7955
1/12/2018,North Station,13220
1/12/2018,Oak Grove,6105
1/12/2018,Orient Heights,3453
1/12/2018,Park Street,14996
1/12/2018,Porter,7803
1/12/2018,Prudential,3469
1/12/2018,Quincy Adams,4095
1/12/2018,Quincy Center,7571
1/12/2018,Revere Beach,2709
1/12/2018,Riverside,1252
1/12/2018,Roxbury Crossing,4773
1/12/2018,Ruggles,10035
1/12/2018,Savin Hill,2283
1/12/2018,Science Park,784
1/12/2018,Shawmut,2120
1/12/2018,South Station,23094
1/12/2018,State Street,13585
1/12/2018,Stony Brook,3315
1/12/2018,Suffolk Downs,394
1/12/2018,Sullivan Square,8060
1/12/2018,Symphony,1814
1/12/2018,Tufts Medical Center,6192
1/12/2018,Wellington,6355
1/12/2018,Wonderland,6250
1/12/2018,Wood Island,1890
1/12/2018,World Trade Center,1199
1/13/2018,Airport,4381
1/13/2018,Alewife,4028
1/13/2018,Andrew,2606
1/13/2018,Aquarium,2753
1/13/2018,Arlington,3125
1/13/2018,Ashmont,3914
1/13/2018,Assembly,1802
1/13/2018,Back Bay,6308
1/13/2018,Beachmont,1321
1/13/2018,Bowdoin,554
1/13/2018,Boylston,3864
1/13/2018,Braintree,1711
1/13/2018,Broadway,2484
1/13/2018,Central,7562
1/13/2018,Charles MGH,2910
1/13/2018,Chinatown,4177
1/13/2018,Community College,974
1/13/2018,Copley,7916
1/13/2018,Courthouse,665
1/13/2018,Davis,5377
1/13/2018,Downtown Crossing,10555
1/13/2018,Fields Corner,2508
1/13/2018,Forest Hills,5685
1/13/2018,Government Center,3068
1/13/2018,Green Street,1443
1/13/2018,Harvard,9499
1/13/2018,Haymarket,8269
1/13/2018,Hynes Convention Center,5137
1/13/2018,Jackson Square,2672
1/13/2018,JFK/Umass,2355
1/13/2018,Kendall/MIT,3719
1/13/2018,Kenmore,4405
1/13/2018,Lechmere,3340
1/13/2018,Malden Center,5113
1/13/2018,Massachusetts Ave.,2950
1/13/2018,Maverick,6309
1/13/2018,North Quincy,3033
1/13/2018,North Station,6888
1/13/2018,Oak Grove,2322
1/13/2018,Orient Heights,2124
1/13/2018,Park Street,7462
1/13/2018,Porter,4013
1/13/2018,Prudential,2847
1/13/2018,Quincy Adams,1192
1/13/2018,Quincy Center,3121
1/13/2018,Revere Beach,1733
